Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-JAN-2016,3422.2,3473.8,3417.75,3472.1,174318809,2157.15
04-JAN-2016,3475,3498.9,3398.75,3425.25,257306734,2853.33
05-JAN-2016,3444.9,3469.8,3412.1,3464.25,257489499,2846.76
06-JAN-2016,3469.25,3493.9,3430.75,3445.35,221223623,2647.58
07-JAN-2016,3401.55,3401.55,3308.75,3315.35,232608306,2509.72
08-JAN-2016,3341.8,3377.75,3332.55,3361.95,184441825,2103.6
11-JAN-2016,3328.35,3368.4,3297.4,3342.4,186467591,2155.07
12-JAN-2016,3353.45,3366.95,3288.6,3302.7,209004806,2011.24
13-JAN-2016,3332.95,3341,3161.15,3246,301947981,2999.57
14-JAN-2016,3185.65,3234.5,3150.55,3187.95,260525048,2148.42
15-JAN-2016,3203.6,3215.45,3039.95,3047.25,238712440,2768.58
18-JAN-2016,3037.65,3046.25,2935.75,2952.65,272174871,2748.29
19-JAN-2016,2966.25,3026.65,2939.45,3009,235776536,2498.99
20-JAN-2016,2964.1,2964.1,2880,2928.9,229841999,2265.05
21-JAN-2016,2961.4,2995.65,2904.25,2944.95,225829885,2118.8
22-JAN-2016,2984.6,3049.85,2969,3041.9,202675855,1989.52
25-JAN-2016,3071.05,3090.2,3044,3048.65,159142984,1844.94
27-JAN-2016,3067.3,3084.85,3036,3075.7,178231821,2011.3
28-JAN-2016,3076.3,3088.75,3057.3,3062.75,339997588,3437.71
29-JAN-2016,3063.15,3096.95,3029.15,3093.25,224121795,2666.28
01-FEB-2016,3110.1,3117.6,3076.85,3086.15,155906906,2160.13
02-FEB-2016,3091,3121.25,3036.2,3044.45,215097240,2291.1
03-FEB-2016,3007.35,3009.4,2961.9,2965.65,226219034,2022.7
04-FEB-2016,2997.95,3009.4,2905.5,2941.7,195136362,2331.16
05-FEB-2016,2954.65,3033.3,2941.05,3023.25,165229592,2099.37
08-FEB-2016,3033.25,3068,3006,3012.3,185683491,1921.65
09-FEB-2016,2969.45,2995.1,2944.3,2951.05,151213214,1841.57
10-FEB-2016,2937,2944.65,2884.7,2916.6,234102954,2535.67
11-FEB-2016,2901.65,2905,2732.55,2749.85,384996775,3084.04
12-FEB-2016,2766.25,2767.55,2633.1,2723.45,433455913,3323.67
15-FEB-2016,2771.4,2862.5,2771.4,2846.1,219581817,2382.88
16-FEB-2016,2870.45,2873.35,2752.05,2756.9,203740516,2355.56
17-FEB-2016,2759.2,2792.9,2692.6,2781.9,240021364,2688.49
18-FEB-2016,2812,2837.95,2752.2,2797.65,195973584,2318.15
19-FEB-2016,2786.85,2817.6,2777.35,2807.1,175070513,1571.04
22-FEB-2016,2820.6,2833.35,2807.95,2822.9,143485426,1353.65
23-FEB-2016,2828.85,2828.85,2771.45,2780.85,162638170,1543.01
24-FEB-2016,2763.6,2788.8,2751.9,2759.6,198852668,1708.55
25-FEB-2016,2773.1,2773.65,2703.15,2707.4,351033436,2240.96
26-FEB-2016,2735.9,2741.3,2688.7,2714.4,186045164,1599.06
29-FEB-2016,2722.2,2762.9,2660.85,2720.75,311101462,2331.74
01-MAR-2016,2738.25,2825.95,2736.25,2820.8,213881605,1867.14
02-MAR-2016,2859.55,2926.25,2857.7,2905.9,282958682,2744.36
03-MAR-2016,2929.4,2949.75,2900.7,2945.95,220642754,2769.36
04-MAR-2016,2963.8,2995.65,2933.05,2985.15,251387533,3108.3
08-MAR-2016,2992.4,3019.95,2968.7,2992.6,346535797,3010.98
09-MAR-2016,2970.4,3028,2954.9,3025.35,275329284,3154.27
10-MAR-2016,3038.7,3046.9,2996.5,3005.2,213996628,2465.43
11-MAR-2016,3000.8,3029.3,2982.6,3009.45,216943929,2151.83
14-MAR-2016,3029.65,3041.15,3003.25,3015.9,191807419,1772.9
15-MAR-2016,3014.85,3026.2,2998.3,3008.25,162247929,1552.97
16-MAR-2016,3012.6,3020.8,2956.3,2997.15,178622671,1747.61
17-MAR-2016,3030.2,3037.05,2994.25,3003.1,174017367,1838.78
18-MAR-2016,3013.75,3049.65,2995,3044.25,200378239,1812.72
21-MAR-2016,3053.8,3103.1,3052.7,3100.25,175142877,1927.04
22-MAR-2016,3107.75,3139.1,3095.8,3125.7,182074368,2640.17
23-MAR-2016,3126.2,3143.05,3121.35,3134.65,162605619,2182.18
28-MAR-2016,3141.95,3146.9,3072.55,3086.65,175396747,1824.17
29-MAR-2016,3090,3103.15,3063.75,3082.55,177882063,1960.7
30-MAR-2016,3107.5,3159.1,3106.7,3154.1,206011259,1950.03
31-MAR-2016,3169.55,3209.1,3152.55,3200.6,385029925,3346.58
01-APR-2016,3198.8,3229.5,3188.85,3224.8,133862925,1938.04
04-APR-2016,3240,3245.85,3201.2,3217.5,112561582,1719.43
05-APR-2016,3215.1,3216.25,3137.9,3144.45,148914699,2114.81
